clade_name	A10	A11	A13	A14	A16	A17	A18	A19	A1	A2	A3	A4	A5	A6	A7	A8	A9	DRR214959	DRR214960	DRR214961	DRR214962	DRR241310	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	SRS013942	SRS014468	SRS014692	SRS015055	SRS019120
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_albus	3	1	2	0	4	0	0	1	13	9	6	14	0	9	0	0	1	46	36	24	9	8	0	3	5	2	0	3	3	8	2	0	3	0	2	1	2
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_minervae	9	5	18	5	2	1	1	1	31	14	20	12	9	45	0	12	2	334	129	357	39	41	2	10	15	8	0	2	7	12	19	1	1	2	16	16	5
d__Bacteria|p__Nitrospirae	134	50	205	30	53	49	104	29	385	380	68	147	72	331	42	66	68	1489	648	1109	519	205	17	124	67	32	4	36	71	143	122	29	23	7	60	57	28
d__Bacteria|p__Nitrospirae|c__Nitrospira	134	50	205	30	53	49	104	29	385	380	68	147	72	331	42	66	68	1489	648	1109	519	205	17	124	67	32	4	36	71	143	122	29	23	7	60	57	28
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	134	50	205	30	53	49	104	29	385	380	68	147	72	331	42	66	68	1489	648	1109	519	205	17	124	67	32	4	36	71	143	122	29	23	7	60	57	28
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	134	50	205	30	53	49	104	29	385	380	68	147	72	331	42	66	68	1489	648	1109	519	205	17	124	67	32	4	36	71	143	122	29	23	7	60	57	28
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio	11	22	28	9	10	5	9	17	137	81	13	61	29	111	5	28	22	649	192	99	65	32	5	20	26	9	0	4	20	26	33	3	2	4	15	15	7
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio_yellowstonii	11	22	28	9	10	5	9	17	137	81	13	61	29	111	5	28	22	649	192	99	65	32	5	20	26	9	0	4	20	26	33	3	2	4	15	15	7
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum	17	9	84	12	13	31	19	4	86	144	24	28	26	111	17	11	8	231	111	326	95	32	1	9	14	4	2	5	18	10	12	3	7	0	17	23	7
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_sp._Group_II_'CF-1'	1	0	29	3	6	3	0	0	0	4	11	1	10	0	0	0	0	3	0	219	42	4	0	0	6	0	0	0	5	0	0	0	0	0	5	0	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferrooxidans	6	9	16	3	6	23	13	4	26	55	10	5	15	45	8	6	4	168	105	96	33	8	1	9	6	4	2	5	5	2	5	3	0	0	11	13	2
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferriphilum	9	0	38	5	0	4	5	0	59	84	2	21	0	65	8	4	3	59	6	9	19	19	0	0	1	0	0	0	7	7	6	0	7	0	0	9	4
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira	106	19	93	9	30	13	76	8	162	155	31	58	17	109	20	27	38	608	344	683	359	141	11	95	27	19	2	27	33	107	77	23	14	3	28	19	14
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_defluvii	4	3	6	6	19	3	67	0	69	57	19	17	3	9	3	1	22	388	232	164	149	25	5	1	8	12	0	9	10	53	22	6	8	2	3	6	8
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_moscoviensis	7	6	9	1	5	5	2	3	35	18	5	13	5	19	2	2	8	47	45	191	160	28	1	85	4	2	1	5	17	37	22	11	2	0	7	6	0
